,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
3423,Upper Savannah,"""42","800""",108,0
3424,Kangemi,"""16","000""",59,1
3425,Kwa Ruben,"""11","000""",59,0
3426,Maringo/Hamza,"""44","800""",46,0
3427,Upper Savannah,"""20","000""",60,1
3428,Ngei,"""44","000""",52,0
3429,Ruai,"""231","700""",62,0
3430,Kitengela,"""25","000""",55,1
3431,Nyayo Highrise,"""19","000""",70,1
3432,Embakasi South,"""44","200""",48,0
3433,Dandora Area III,"""36","037""",96,1
3434,Uthiru/Ruthi,"""22","000""",40,0
3435,Ngei,"""12","000""",105,0
3436,Riruta,"""17","000""",86,0
3437,Utawala,"""10","000""",55,1
3438,Dandora Area I,"""29","000""",78,0
3439,Baba Dogo,"""77","378""",91,0
3440,Lower Savannah,"""46","600""",58,0
3441,Kabiro,"""65","574""",66,0
3442,Clay City,"""90","017""",78,0
3443,Korogocho,"""9","000""",70,1
3444,Njiru,"""17","000""",62,0
3445,Mathare North,"""13","000""",88,0
3446,Kware,"""46","400""",59,1
3447,Woodley /Kenyatta Golf Course,"""15","000""",52,0
3448,Embakasi South,"""231","700""",47,1
3449,Mathare South,"""16","000""",32,0
3450,Mabatini,"""48","000""",60,1
3451,Karura,"""42","400""",99,1
3452,Pipeline,"""15","000""",86,1
3453,Laini saba,"""45","600""",53,0
3454,Nairobi South,"""16","000""",67,0
3455,Korogocho,"""9","000""",43,0
3456,Baba Dogo,"""15","000""",94,1
3457,Pumwani,"""16","000""",117,0
3458,Dandora Area III,"""62","600""",99,0
3459,Ruiru,"""22","000""",53,1
3460,Mlango Kubwa,"""43","800""",37,0
3461,Kitengela,"""41","500""",70,1
3462,Waithaka,"""45","400""",80,0
3463,Kariobangi North,"""29","000""",55,0
3464,Lucky Summer,"""14","000""",76,1
3465,Kware,"""38","918""",89,1
3466,Westlands,"""16","000""",93,1
3467,Embakasi North,"""40","500""",62,1
3468,Airbase,"""42","500""",56,0
3469,Githurai,"""22","000""",34,0
3470,Uthiru/Ruthi,"""12","000""",57,1
3471,Nyayo Highrise,"""26","000""",105,0
3472,Upper Savannah,"""41","500""",98,1
3473,Embakasi Central,"""12","000""",91,1
3474,Kariobangi South,"""27","000""",50,0
3475,Kabiro,"""19","000""",88,1
3476,Dandora Area III,"""48","000""",91,0
3477,Embakasi South,"""48","100""",66,1
3478,Ngei,"""10","000""",48,1
3479,Kayole North,"""46","600""",102,0
3480,Embakasi,"""25","000""",48,0
3481,Mugumu-Ini,"""63","000""",38,0
3482,Dandora Area II,"""38","918""",53,0
3483,Kayole Central,"""14","000""",56,0
3484,Mutu-ini,"""21","000""",44,0
3485,Pangani,"""42","600""",99,0
3486,Ngara,"""52","600""",33,0
3487,Kitengela,"""52","600""",25,0
3488,Utalii,"""46","400""",98,1
3489,Embakasi North,"""22","000""",104,1
3490,Zimmerman,"""45","600""",108,0
3491,Baba Dogo,"""44","000""",67,1
3492,Dandora Area II,"""10","000""",59,0
3493,Baba Dogo,"""45","400""",107,1
3494,Embakasi North,"""45","800""",69,1
3495,Dandora Area I,"""14","000""",94,0
3496,Woodley /Kenyatta Golf Course,"""48","997""",99,0
3497,Dandora Area IV,"""62","600""",77,1
3498,Clay City,"""44","800""",38,0
3499,Riruta,"""36","037""",72,1
3500,Westlands,"""14","000""",111,0
3501,Eastleigh North,"""27","000""",73,1
3502,Karen,"""15","000""",58,1
3503,Mwiki,"""48","997""",86,0
3504,Kileleshwa,"""62","600""",83,0
3505,Ruai,"""55","500""",48,1
3506,Utawala,"""9","000""",70,1
3507,Karen,"""20","000""",49,0
3508,Woodley /Kenyatta Golf Course,"""42","300""",59,0
3509,Dandora Area IV,"""44","200""",107,1
3510,Umoja II,"""26","000""",58,0
3511,Nairobi Central,"""45","600""",75,1
3512,Kasarani,"""55","500""",48,1
3513,Dandora Area IV,"""22","000""",63,0
3514,South C,"""46","174""",91,0
3515,Umoja I,"""17","000""",52,1
3516,Embakasi East,"""62","583""",81,1
3517,Dandora Area III,"""20","000""",82,1
3518,Uthiru/Ruthi,"""109","890""",61,0
3519,Kasarani,"""65","574""",69,1
3520,Kariobangi South,"""50","800""",121,1
3521,Sarangombe,"""43","400""",84,1
3522,Kware,"""55","500""",107,1
3523,Eastleigh South,"""24","000""",88,1
3524,Ngara,"""44","800""",78,0
3525,Korogocho,"""52","600""",50,1
3526,Gatina,"""52","500""",107,1
3527,Kwa Njenga,"""38","918""",96,1
3528,Waithaka,"""43","800""",82,1
3529,Uthiru/Ruthi,"""62","600""",110,1
3530,Mowlem,"""18","000""",50,0
3531,Embakasi North,"""11","000""",93,1
3532,Pipeline,"""40","500""",60,0
3533,Kibera,"""40","500""",90,1
3534,Kwa Ruben,"""46","400""",52,1
3535,Kitengela,"""22","000""",68,1
3536,Parklands/Highridge,"""15","000""",88,1
3537,Mathare North,"""123","000""",70,1
3538,Komarock,"""17","000""",72,0
3539,Ruai,"""19","000""",83,0
3540,Ruiru,"""109","890""",62,0
3541,Riruta,"""19","000""",58,0
3542,Karen,"""20","000""",51,0
3543,Pipeline,"""39","377""",54,1
3544,Kayole South,"""17","000""",64,1
3545,Nairobi West,"""42","300""",82,0
3546,Umoja I,"""51","890""",49,0
3547,Ngei,"""17","000""",49,0
3548,Waithaka,"""43","000""",74,1
3549,Eastleigh North,"""17","000""",88,1
3550,Kayole North,"""12","000""",71,0
3551,Eastleigh North,"""42","500""",100,1
3552,Makadara,"""42","400""",59,1
3553,Woodley /Kenyatta Golf Course,"""44","200""",55,0
3554,Kawangware,"""27","000""",76,0
3555,Kayole Central,"""109","890""",110,1
3556,Pumwani,"""41","500""",57,0
3557,Ngei,"""14","000""",74,1
3558,Kibera,"""42","500""",63,0
3559,Embakasi East,"""42","000""",62,1
3560,Waithaka,"""42","400""",55,1
3561,Githurai,"""62","600""",91,0
3562,Zimmerman,"""26","000""",116,1
3563,Kware,"""44","400""",79,1
3564,Embakasi Central,"""52","500""",63,1
3565,Embakasi Central,"""21","000""",60,0
3566,Riruta,"""55","500""",56,0
3567,Airbase,"""46","174""",106,1
3568,Kware,"""22","000""",60,1
3569,Sarangombe,"""36","037""",109,1
3570,Uthiru/Ruthi,"""41","900""",77,1
3571,Kitisuru,"""14","000""",68,0
3572,Sarangombe,"""109","890""",90,0
3573,Mwiki,"""90","017""",52,0
3574,Ngara,"""52","600""",82,0
3575,Karen,"""46","600""",58,0
3576,Upper Savannah,"""42","600""",61,1
3577,Pumwani,"""44","600""",49,0
3578,Roysambu,"""41","900""",100,1
3579,Kariobangi North,"""46","600""",110,0
3580,Clay City,"""15","000""",63,1
3581,Lucky Summer,"""41","500""",102,1
3582,Roysambu,"""45","800""",57,0
3583,Makongeni,"""21","000""",49,0
3584,Harambee,"""42","600""",108,0
3585,Woodley /Kenyatta Golf Course,"""23","000""",45,0
3586,Kibera,"""52","500""",110,0
3587,Karen,"""9","000""",100,0
3588,Athi River,"""109","890""",48,0
3589,South C,"""52","500""",49,0
3590,Laini saba,"""52","600""",118,1
3591,Pumwani,"""15","000""",42,0
3592,Embakasi South,"""62","600""",64,0
3593,Ruiru,"""62","583""",75,0
3594,Kilimani,"""21","000""",39,0
3595,Kibera,"""41","600""",45,1
3596,Kitisuru,"""43","200""",74,0
3597,Uthiru/Ruthi,"""52","500""",96,1
3598,Mabatini,"""41","600""",85,1
3599,Parklands/Highridge,"""43","000""",79,0
3600,Kware,"""231","700""",49,0
3601,Mathare North,"""231","700""",98,1
3602,Laini saba,"""42","600""",62,0
3603,Kawangware,"""82","972""",76,0
3604,Lucky Summer,"""48","100""",64,0
3605,Parklands/Highridge,"""43","000""",106,1
3606,Dandora Area I,"""40","500""",98,0
3607,Pumwani,"""42","000""",101,1
3608,Kibera,"""42","972""",70,0
3609,Nairobi West,"""48","000""",64,0
3610,Kayole Central,"""42","400""",67,0
3611,Mowlem,"""46","174""",68,1
3612,Uthiru/Ruthi,"""43","000""",57,0
3613,Harambee,"""46","400""",94,1
3614,Mabatini,"""18","000""",72,0
3615,Riruta,"""20","000""",56,0
3616,Ziwani/Kariokor,"""23","000""",71,0
3617,Mowlem,"""46","174""",82,1
3618,South C,"""50","800""",59,1
3619,Eastleigh South,"""19","000""",61,0
3620,Kilimani,"""44","800""",56,0
3621,Kilimani,"""42","800""",96,0
3622,Komarock,"""44","600""",108,1
3623,Pangani,"""17","000""",94,0
3624,Kayole Central,"""51","890""",60,1
3625,Clay City,"""14","000""",56,0
3626,Upper Savannah,"""41","500""",81,0
3627,Kariobangi South,"""16","000""",58,1
3628,Mountain View,"""41","800""",82,0
3629,Laini saba,"""43","600""",62,0
3630,Kwa Njenga,"""90","017""",99,0
3631,Kasarani,"""42","300""",66,1
3632,Utawala,"""44","800""",91,1
3633,Utawala,"""42","800""",89,0
3634,Kwa Njenga,"""42","200""",48,0
3635,Westlands,"""41","700""",52,0
3636,Uthiru/Ruthi,"""17","000""",93,1
3637,Kahawa West,"""43","800""",99,0
3638,Nyayo Highrise,"""48","000""",89,0
3639,Kangemi,"""40","500""",64,0
3640,South C,"""43","400""",56,1
3641,Ngando,"""52","600""",65,0
3642,Landimawe,"""20","000""",110,0
3643,South C,"""41","500""",80,1
3644,Ruiru,"""63","000""",75,0
3645,Lindi Makina,"""90","017""",60,1
3646,Kamukunji,"""52","500""",55,0
3647,Pangani,"""44","600""",63,1
3648,Kibera,"""27","000""",109,0
3649,Ngara,"""43","000""",95,1
3650,Eastleigh South,"""45","200""",43,1
3651,Utawala,"""44","200""",53,1
3652,Maringo/Hamza,"""38","918""",42,1
3653,Starehe,"""43","600""",73,1
3654,Nyayo Highrise,"""40","500""",102,1
3655,Kitengela,"""13","000""",94,0
3656,Kabiro,"""26","000""",35,0
3657,Riruta,"""42","500""",66,0
3658,Utawala,"""77","378""",63,0
3659,Ruiru,"""48","000""",60,1
3660,Utalii,"""55","500""",56,0
3661,Pipeline,"""22","000""",106,1
3662,Makongeni,"""20","000""",73,0
3663,Dandora Area IV,"""45","800""",69,1
3664,Ngei,"""48","100""",99,1
3665,California,"""82","972""",92,1
3666,Mountain View,"""41","700""",34,0
3667,Thika,"""44","000""",57,0
3668,Ngando,"""41","800""",71,0
3669,Umoja I,"""26","000""",31,0
3670,Starehe,"""43","000""",63,1
3671,Makadara,"""55","500""",61,0
3672,Mowlem,"""42","600""",64,1
3673,Parklands/Highridge,"""19","000""",91,0
3674,Parklands/Highridge,"""45","600""",74,1
3675,Mihango,"""123","000""",63,0
3676,Pumwani,"""15","000""",52,1
3677,Hospital,"""12","000""",107,0
3678,Mabatini,"""19","000""",67,0
3679,Korogocho,"""25","000""",82,1
3680,Syokimau,"""44","400""",23,0
3681,Kabiro,"""65","574""",39,0
3682,Kangemi,"""52","500""",59,0
3683,Mutu-ini,"""22","000""",64,0
3684,Kware,"""19","000""",83,0
3685,Kilimani,"""52","600""",100,1
3686,Sarangombe,"""43","000""",53,0
3687,Kabiro,"""40","500""",76,0
3688,Nairobi South,"""19","000""",112,1
3689,Ziwani/Kariokor,"""42","600""",66,1
3690,Mugumu-Ini,"""42","000""",41,0
3691,Ngara,"""40","500""",108,0
3692,Maringo/Hamza,"""21","000""",82,0
3693,Ngando,"""39","377""",83,0
3694,Nairobi South,"""41","800""",92,1
3695,Mowlem,"""9","000""",65,0
3696,Sarangombe,"""14","000""",78,1
3697,Pumwani,"""41","800""",89,1
3698,Eastleigh North,"""22","000""",74,1
3699,Kwa Njenga,"""44","200""",103,0
3700,Nairobi South,"""42","972""",95,1
3701,Kayole South,"""15","000""",92,1
3702,Nairobi Central,"""42","400""",79,1
3703,Kayole South,"""46","600""",93,1
3704,Embakasi Central,"""63","000""",43,0
3705,Kariobangi South,"""12","000""",45,0
3706,Clay City,"""17","000""",60,0
3707,Mihango,"""42","400""",97,1
3708,Ngara,"""17","000""",68,1
3709,Waithaka,"""16","000""",111,1
3710,Mathare South,"""14","000""",79,0
3711,Kiamaiko,"""14","000""",70,1
3712,Kamukunji,"""20","000""",62,0
3713,Karen,"""44","800""",46,1
3714,Njiru,"""18","000""",84,0
3715,Mabatini,"""14","000""",94,1
3716,Kawangware,"""46","174""",106,0
3717,Njiru,"""12","000""",59,0
3718,Ngando,"""17","000""",43,0
3719,Ngando,"""14","000""",101,0
3720,Mugumu-Ini,"""41","800""",100,0
3721,Kitengela,"""55","500""",60,1
3722,Ngando,"""22","000""",96,1
3723,Umoja II,"""42","000""",84,1
3724,South C,"""45","800""",92,0
3725,Lucky Summer,"""62","600""",89,1
3726,Dandora Area IV,"""41","900""",57,1
3727,Makadara,"""42","800""",103,0
3728,Matopeni/Spring Valley,"""42","972""",42,0
3729,Kayole North,"""48","997""",109,1
3730,Dandora Area IV,"""38","918""",106,1
3731,Makongeni,"""48","997""",113,1
3732,Huruma,"""45","200""",90,0
3733,Airbase,"""65","574""",114,0
3734,Airbase,"""65","574""",58,0
3735,Clay City,"""46","200""",72,1
3736,Airbase,"""42","800""",81,1
3737,Airbase,"""29","000""",76,0
3738,Pumwani,"""43","000""",45,0
3739,Kibera,"""12","000""",73,1
3740,Mathare South,"""13","000""",108,1
3741,Makongeni,"""231","700""",101,1
3742,Uthiru/Ruthi,"""46","400""",64,1
3743,Pipeline,"""123","000""",109,1
3744,Kiamaiko,"""45","200""",50,0
3745,Kayole Central,"""19","000""",63,0
3746,Kitisuru,"""48","997""",55,1
3747,Woodley /Kenyatta Golf Course,"""21","000""",89,0
3748,Clay City,"""25","000""",75,0
3749,Nyayo Highrise,"""40","500""",72,0
3750,Eastleigh North,"""12","000""",89,1
3751,Kilimani,"""24","000""",100,0
3752,Nairobi South,"""18","000""",93,0
3753,Thika,"""42","600""",62,1
3754,Embakasi South,"""23","000""",56,0
3755,Githurai,"""42","500""",75,1
3756,Utalii,"""46","400""",92,1
3757,Mathare North,"""42","400""",55,0
3758,Starehe,"""14","000""",99,1
3759,Embakasi South,"""45","400""",73,1
3760,Kiamaiko,"""62","583""",104,0
3761,Kwa Njenga,"""43","200""",108,1
3762,Githurai,"""20","000""",69,1
3763,Matopeni/Spring Valley,"""44","918""",64,0
3764,Embakasi Central,"""42","000""",99,1
3765,Mutu-ini,"""43","600""",62,1
3766,Kware,"""43","600""",101,1
3767,South C,"""17","000""",44,1
3768,Lucky Summer,"""52","500""",44,0
3769,Waithaka,"""27","000""",87,1
3770,Utawala,"""42","800""",78,1
3771,Kitisuru,"""109","890""",83,0
3772,Dandora Area III,"""44","000""",94,0
3773,Waithaka,"""45","200""",56,0
3774,Karen,"""41","500""",53,0
3775,Githurai,"""24","000""",78,1
3776,Njiru,"""23","000""",55,1
3777,Starehe,"""44","918""",41,0
3778,Ruai,"""44","000""",49,1
3779,Imara Daima,"""40","500""",76,1
3780,Pangani,"""44","800""",87,1
3781,Kabiro,"""9","000""",41,0
3782,Pumwani,"""16","000""",81,1
3783,Mlango Kubwa,"""52","600""",66,0
3784,Roysambu,"""21","000""",69,1
3785,Embakasi Central,"""52","500""",42,1
3786,Kayole North,"""46","200""",103,0
3787,Matopeni/Spring Valley,"""13","000""",97,0
3788,Waithaka,"""36","037""",63,1
3789,Umoja II,"""13","000""",43,0
3790,Sarangombe,"""12","000""",102,1
3791,Kware,"""41","800""",83,0
3792,South C,"""42","200""",75,1
3793,Embakasi East,"""39","377""",127,1
3794,Viwandani,"""44","400""",115,1
3795,Landimawe,"""46","000""",64,1
3796,Mutu-ini,"""43","600""",34,0
3797,Ngei,"""19","000""",80,0
3798,Maringo/Hamza,"""26","000""",84,1
3799,Riruta,"""46","174""",57,0
3800,Kabiro,"""52","500""",53,0
3801,Imara Daima,"""41","900""",101,1
3802,Mihango,"""42","300""",91,0
3803,Komarock,"""44","800""",106,0
3804,Kariobangi South,"""19","000""",80,1
3805,Ruai,"""77","378""",48,1
3806,Mathare North,"""42","300""",70,0
3807,Mabatini,"""46","174""",89,0
3808,Kibera,"""43","400""",68,0
3809,Airbase,"""12","000""",60,0
3810,Kware,"""25","000""",61,0
3811,Mathare South,"""44","800""",120,1
3812,Nairobi Central,"""17","000""",103,0
3813,Laini saba,"""109","890""",56,0
3814,Mathare South,"""42","000""",41,0
3815,Airbase,"""62","600""",83,0
3816,Utalii,"""43","000""",104,1
3817,Mathare North,"""22","000""",115,0
3818,Kahawa,"""46","600""",100,1
3819,Syokimau,"""41","500""",77,1
3820,Njiru,"""65","574""",61,1
3821,Kariobangi North,"""46","800""",98,1
3822,Pangani,"""42","972""",99,0
3823,Umoja I,"""12","000""",97,0
3824,Nairobi Central,"""42","600""",34,0
3825,Pipeline,"""22","000""",80,0
3826,Roysambu,"""19","000""",82,0
3827,Ngando,"""17","000""",121,0
3828,Kwa Ruben,"""43","200""",61,1
3829,Mutu-ini,"""41","600""",53,0
3830,Kariobangi South,"""82","972""",102,1
3831,Dandora Area II,"""26","000""",52,0
3832,Ngei,"""42","000""",52,0
3833,Pipeline,"""13","000""",99,0
3834,Woodley /Kenyatta Golf Course,"""44","600""",62,0
3835,California,"""36","037""",86,0
3836,Landimawe,"""13","000""",77,1
3837,Kiamaiko,"""40","500""",64,1
3838,Uthiru/Ruthi,"""14","000""",53,0
3839,Athi River,"""109","890""",51,0
3840,Waithaka,"""26","000""",54,1
3841,Eastleigh South,"""46","800""",96,1
3842,Nyayo Highrise,"""43","600""",90,0
3843,Umoja II,"""12","000""",49,0
3844,Mowlem,"""46","800""",62,0
3845,Kwa Ruben,"""26","000""",85,0
3846,Utawala,"""17","000""",65,0
3847,Ngando,"""45","600""",97,0
3848,Dandora Area II,"""42","400""",91,0
3849,Lower Savannah,"""44","200""",71,1
3850,Kilimani,"""41","500""",54,0
3851,Githurai,"""77","378""",76,1
3852,Kwa Njenga,"""48","100""",83,1
3853,Uthiru/Ruthi,"""46","200""",75,1
3854,Embakasi East,"""45","800""",65,1
3855,Kawangware,"""48","000""",95,1
3856,Kayole South,"""26","000""",85,0
3857,Korogocho,"""46","400""",86,0
3858,Harambee,"""77","378""",46,0
3859,Embakasi East,"""45","400""",58,0
3860,Ruai,"""44","200""",73,0
3861,Harambee,"""26","000""",57,0
3862,Huruma,"""50","800""",80,1
3863,Ziwani/Kariokor,"""43","400""",63,0
3864,Landimawe,"""46","174""",80,0
3865,Pumwani,"""46","200""",113,1
3866,Lower Savannah,"""52","600""",51,1
3867,Kariobangi North,"""21","000""",84,0
3868,Kayole North,"""90","017""",57,0
3869,Laini saba,"""26","000""",53,0
3870,Upper Savannah,"""22","000""",47,0
3871,Nairobi South,"""12","000""",34,1
3872,Starehe,"""11","000""",60,1
3873,Kayole North,"""45","000""",104,1
3874,Sarangombe,"""19","000""",109,1
3875,Kilimani,"""42","600""",43,0
3876,Kiamaiko,"""20","000""",60,0
3877,Baba Dogo,"""26","000""",65,0
3878,Lower Savannah,"""43","600""",50,0
3879,Dandora Area II,"""44","400""",40,0
3880,Upper Savannah,"""44","918""",56,1
3881,Kwa Ruben,"""24","000""",70,1
3882,Waithaka,"""23","000""",58,1
3883,Kamukunji,"""17","000""",78,0
3884,Kahawa,"""42","400""",47,1
3885,Mabatini,"""45","000""",118,1
3886,Mugumu-Ini,"""18","000""",64,1
3887,Starehe,"""24","000""",89,0
3888,Mutu-ini,"""22","000""",100,1
3889,Kitengela,"""18","000""",100,0
3890,Pumwani,"""27","000""",50,0
3891,Kawangware,"""21","000""",70,0
3892,Mathare South,"""48","000""",78,0
3893,Baba Dogo,"""23","000""",71,1
3894,Uthiru/Ruthi,"""82","972""",92,0
3895,Kamukunji,"""51","890""",92,1
3896,Dandora Area III,"""44","000""",64,1
3897,Lucky Summer,"""42","200""",76,1
3898,Nairobi West,"""45","800""",81,1
3899,Kware,"""42","400""",94,1
3900,Upper Savannah,"""45","200""",76,0
3901,Kware,"""44","918""",80,1
3902,Kangemi,"""45","200""",43,1
3903,Utawala,"""43","200""",52,0
3904,Kayole South,"""13","000""",56,1
3905,Ruai,"""36","037""",60,0
3906,Upper Savannah,"""45","600""",58,0
3907,Airbase,"""12","000""",58,1
3908,Githurai,"""44","400""",110,1
3909,Eastleigh South,"""42","600""",105,1
3910,Ruai,"""63","000""",55,1
3911,Kawangware,"""43","000""",43,1
3912,Karen,"""44","918""",51,0
3913,Kahawa West,"""42","972""",91,1
3914,Ruai,"""45","200""",69,1
3915,Kibera,"""109","890""",83,1
3916,Maringo/Hamza,"""16","000""",103,1
3917,Gatina,"""46","200""",84,1
3918,Kitengela,"""14","000""",91,1
3919,Embakasi Central,"""42","800""",76,1
3920,Upper Savannah,"""42","600""",53,0
3921,Imara Daima,"""13","000""",72,0
3922,Komarock,"""42","400""",61,1
3923,Kariobangi South,"""65","574""",123,0
3924,Utawala,"""18","000""",61,0
3925,Embakasi North,"""44","400""",85,1
3926,Starehe,"""10","000""",45,0
3927,Embakasi South,"""42","600""",60,0
3928,Mugumu-Ini,"""44","200""",79,1
3929,Sarangombe,"""42","400""",105,1
3930,Nairobi West,"""62","583""",43,0
3931,Uthiru/Ruthi,"""23","000""",97,0
3932,Roysambu,"""42","000""",53,0
3933,Zimmerman,"""42","200""",88,1
3934,Sarangombe,"""42","000""",63,1
3935,Githurai,"""44","400""",91,0
3936,Umoja II,"""46","400""",84,1
3937,Makongeni,"""42","400""",85,1
3938,Mabatini,"""22","000""",87,1
3939,Baba Dogo,"""44","600""",97,1
3940,Makongeni,"""109","890""",40,0
3941,Waithaka,"""16","000""",52,0
3942,Syokimau,"""46","800""",79,0
3943,Viwandani,"""41","800""",40,0
3944,Kariobangi South,"""42","400""",93,1
3945,Dandora Area IV,"""19","000""",64,1
3946,Embakasi Central,"""26","000""",52,1
3947,Kilimani,"""45","200""",96,1
3948,Waithaka,"""43","200""",110,0
3949,Kitengela,"""44","400""",67,1
3950,Kilimani,"""12","000""",64,0
3951,Ziwani/Kariokor,"""48","100""",97,1
3952,Starehe,"""13","000""",57,1
3953,Embakasi East,"""18","000""",91,0
3954,Nairobi Central,"""123","000""",57,1
3955,Roysambu,"""38","918""",55,1
3956,Komarock,"""41","900""",68,1
3957,Embakasi East,"""42","200""",53,1
3958,Utawala,"""52","500""",96,0
3959,Uthiru/Ruthi,"""16","000""",46,0
3960,Githurai,"""41","900""",65,0
3961,Utawala,"""48","997""",59,1
3962,Embakasi Central,"""50","800""",42,0
3963,Embakasi North,"""23","000""",63,1
3964,Umoja I,"""52","600""",75,1
3965,Umoja II,"""11","000""",36,1
3966,Hospital,"""16","000""",64,0
3967,Ngando,"""41","600""",72,0
3968,Roysambu,"""43","800""",48,1
3969,Airbase,"""46","400""",94,1
3970,Kwa Njenga,"""44","600""",63,0
3971,Embakasi Central,"""12","000""",69,0
3972,Kileleshwa,"""14","000""",95,0
3973,Kayole North,"""42","600""",58,1
3974,Eastleigh North,"""23","000""",43,1
3975,Hospital,"""22","000""",56,1
3976,Nairobi South,"""9","000""",76,0
3977,Kariobangi North,"""23","000""",74,1
3978,Gatina,"""45","000""",102,0
3979,Ngara,"""42","600""",78,1
3980,Uthiru/Ruthi,"""20","000""",105,0
3981,Kariobangi South,"""41","600""",90,1
3982,Pangani,"""41","500""",51,0
3983,Waithaka,"""109","890""",80,1
3984,Lower Savannah,"""40","500""",53,1
3985,Parklands/Highridge,"""26","000""",111,0
3986,Mihango,"""48","100""",105,1
3987,Dandora Area III,"""12","000""",85,0
3988,Karura,"""46","000""",67,1
3989,Embakasi,"""42","600""",85,0
3990,Kilimani,"""38","918""",91,1
3991,Makongeni,"""90","017""",86,1
3992,California,"""42","400""",109,1
3993,Mutu-ini,"""41","700""",59,1
3994,Dandora Area III,"""43","200""",138,1
3995,Nyayo Highrise,"""19","000""",91,1
3996,Kitisuru,"""51","890""",99,1
3997,Mwiki,"""46","600""",74,1
3998,Dandora Area II,"""12","000""",85,1
3999,Ngei,"""42","200""",59,1
4000,Utawala,"""25","000""",74,0
4001,Ziwani/Kariokor,"""36","037""",75,0
4002,Parklands/Highridge,"""45","600""",113,1
4003,Baba Dogo,"""18","000""",60,0
4004,Mugumu-Ini,"""46","800""",82,1
4005,Makadara,"""12","000""",107,1
4006,Syokimau,"""55","500""",54,1
4007,Kwa Ruben,"""20","000""",58,0
4008,Embakasi Central,"""46","200""",52,0
4009,Ngara,"""48","997""",89,1
4010,Kayole South,"""42","400""",98,0
4011,Kayole South,"""41","500""",56,1
4012,Maringo/Hamza,"""44","400""",77,1
4013,Maringo/Hamza,"""42","200""",50,0
4014,Umoja I,"""26","000""",65,0
4015,Mihango,"""9","000""",98,1
4016,California,"""90","017""",90,1
4017,Pumwani,"""14","000""",122,1
4018,Clay City,"""42","600""",58,0
4019,Eastleigh South,"""46","800""",51,0
4020,Eastleigh North,"""46","200""",60,0
4021,Mabatini,"""29","000""",102,1
4022,Gatina,"""16","000""",52,0
4023,Kahawa,"""62","583""",44,1
4024,Ngara,"""62","600""",48,0
4025,Eastleigh South,"""41","900""",59,1
4026,Embakasi North,"""44","800""",98,1
4027,Ngara,"""14","000""",57,1
4028,Uthiru/Ruthi,"""46","174""",56,0
4029,Mlango Kubwa,"""12","000""",104,1
4030,Kware,"""48","000""",77,0
4031,Syokimau,"""42","800""",51,1
4032,Roysambu,"""38","918""",57,0
4033,Kayole South,"""13","000""",72,1
4034,Dandora Area I,"""42","200""",99,1
4035,Kawangware,"""38","918""",72,1
4036,Dandora Area IV,"""17","000""",104,1
4037,Karen,"""10","000""",50,1
4038,Kahawa West,"""17","000""",43,1
4039,South C,"""44","800""",69,0
4040,Komarock,"""41","600""",55,0
4041,Kayole Central,"""19","000""",94,0
4042,Mowlem,"""48","997""",109,1
4043,Pipeline,"""62","600""",74,0
4044,Lower Savannah,"""82","972""",101,1
4045,Kabiro,"""41","900""",39,0
4046,Karura,"""25","000""",56,0
4047,Eastleigh North,"""36","037""",101,0
4048,Westlands,"""42","400""",70,1
4049,Umoja II,"""45","200""",52,1
4050,South C,"""14","000""",69,0
4051,Roysambu,"""48","000""",59,0
4052,Kayole South,"""21","000""",96,1
4053,Ruai,"""12","000""",104,1
4054,Embakasi North,"""231","700""",94,0
4055,Dandora Area I,"""29","000""",54,0
4056,Embakasi South,"""42","200""",52,0
4057,Kilimani,"""44","600""",90,1
4058,Sarangombe,"""19","000""",68,1
4059,Umoja II,"""38","918""",64,0
4060,Viwandani,"""123","000""",114,1
4061,Embakasi Central,"""23","000""",87,1
4062,California,"""46","174""",52,0
4063,Kilimani,"""42","500""",58,0
4064,Waithaka,"""26","000""",65,1
4065,Gatina,"""43","400""",51,1
4066,Kilimani,"""46","174""",78,1
4067,Harambee,"""24","000""",139,0
4068,Kawangware,"""40","500""",45,0
4069,Landimawe,"""21","000""",67,0
4070,Dandora Area I,"""43","600""",72,0
4071,Syokimau,"""38","918""",50,0
4072,Laini saba,"""42","600""",57,1
4073,Westlands,"""20","000""",68,0
4074,Kayole North,"""13","000""",56,0
4075,Umoja II,"""21","000""",81,0
4076,Uthiru/Ruthi,"""50","800""",69,1
4077,Riruta,"""23","000""",55,0
4078,Athi River,"""13","000""",46,1
4079,Korogocho,"""20","000""",87,0
4080,Maringo/Hamza,"""42","300""",40,0
4081,Pangani,"""62","600""",37,0
4082,Pipeline,"""22","000""",122,0
4083,Landimawe,"""43","600""",52,1
4084,Lucky Summer,"""45","000""",89,1
4085,Athi River,"""42","200""",104,0
4086,Huruma,"""52","600""",93,1
4087,Nairobi West,"""48","997""",111,1
4088,Ngei,"""44","200""",88,1
4089,Embakasi,"""29","000""",96,1
4090,Waithaka,"""19","000""",45,0
4091,Eastleigh North,"""41","700""",82,1
4092,Lower Savannah,"""26","000""",105,1
4093,Umoja II,"""20","000""",63,0
4094,Kabiro,"""45","000""",44,1
4095,Lucky Summer,"""22","000""",72,1
4096,Matopeni/Spring Valley,"""82","972""",95,0
